Seasons,Player,Appearances
2012-2013,Daniel Sturridge,14
2013-2014,Daniel Sturridge,29
2014-2015,Daniel Sturridge,12
2006-2007,Dirk Kuyt,34
2007-2008,Dirk Kuyt,32
2008-2009,Dirk Kuyt,38
2009-2010,Dirk Kuyt,37
2010-2011,Dirk Kuyt,33
2011-2012,Dirk Kuyt,34
2007-2008,Fernando Torres,33
2008-2009,Fernando Torres,24
2009-2010,Fernando Torres,22
2010-2011,Fernando Torres,23
2010-2011,Luis Suarez,13
2011-2012,Luis Suarez,31
2012-2013,Luis Suarez,33
2013-2014,Luis Suarez,33
1998-1999,Steven Gerrard,12
1999-2000,Steven Gerrard,29
2000-2001,Steven Gerrard,33
2001-2002,Steven Gerrard,28
2002-2003,Steven Gerrard,34
2003-2004,Steven Gerrard,34
2004-2005,Steven Gerrard,30
2005-2006,Steven Gerrard,32
2006-2007,Steven Gerrard,36
2007-2008,Steven Gerrard,34
2008-2009,Steven Gerrard,31
2009-2010,Steven Gerrard,33
2010-2011,Steven Gerrard,21
2011-2012,Steven Gerrard,18
2012-2013,Steven Gerrard,36
2013-2014,Steven Gerrard,34
2014-2015,Steven Gerrard,29
