Rank,Team,Country,Value($M),Revenue($M)
1,Real Madrid,Spain,3260,746
2,FC Barcelona,Spain,3160,657
3,Man United,England,3100,703
4,Bayern Munich,Germany,2350,661
5,Man City,England,1380,562
6,Chelsea,England,1370,526
7,Arsenal,England,1310,487
8,Liverpool,England,982,415
9,Juventus,Italy,837,379
10,Milan,Italy,775,339
11,Borussia Dortmund,Germany,700,355
12,Paris Saint-Germain,France,634,643
13,Tottenham,England,600,293
14,Schalke 04,Germany,572,290
15,Internazionale,Italy,439,222
16,Atletico Madrid,Spain,436,231
17,Napoli,Italy,353,224
18,Newcastle,England,349,210
19,West Ham,England,309,186
20,Galatasaray,Turkey,294,220
